               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070232,             0.02419,                   0,             0.19795,              0.3202,              0.1397,            0.032315,            0.023775,            0.012549,                   0,             0.00089,             0.00089,             0.09199
                   1,            0.042733,            0.023016,                   0,             0.50339,             0.50287,             0.46219,             0.16727,            0.017336,           0.0096972,                   0,           0.0017896,           0.0017896,             0.08389
                   2,            0.037702,            0.019142,                   0,             0.82486,             0.73138,             0.81183,             0.40759,            0.013131,           0.0072636,                   0,           0.0026879,           0.0026879,            0.075788
                   3,            0.035186,            0.017199,                   0,             0.73185,             0.73424,             0.77925,             0.35574,            0.016712,           0.0061089,                   0,           0.0035836,           0.0035836,            0.067684
                   4,            0.033872,            0.016336,                   0,              0.8788,             0.83624,             0.92254,             0.46587,            0.014562,           0.0057541,                   0,           0.0044758,           0.0044758,            0.059576
                   5,            0.032085,            0.015419,                   0,             0.88815,             0.80444,             0.90252,             0.50826,             0.01162,           0.0060706,                   0,           0.0053635,           0.0053635,            0.051463
                   6,            0.031177,            0.015599,                   0,             0.82717,             0.82281,             0.88422,             0.51403,            0.010508,           0.0058346,                   0,           0.0062454,           0.0062454,            0.043345
                   7,            0.029928,            0.014108,                   0,             0.92346,             0.89023,             0.95809,             0.58833,            0.010986,           0.0048009,                   0,           0.0071207,           0.0071207,            0.035221
                   8,            0.026558,            0.014118,                   0,              0.8853,             0.93443,                0.96,             0.61783,           0.0095922,           0.0049075,                   0,           0.0079883,           0.0079883,            0.027088
                   9,            0.028538,            0.013746,                   0,             0.92788,             0.90473,             0.95874,             0.60313,             0.01125,           0.0048242,                   0,           0.0088472,           0.0088472,            0.018947
                  10,            0.031449,            0.014562,                   0,              0.9216,             0.89756,             0.95569,             0.58076,            0.011046,           0.0048793,                   0,           0.0096964,           0.0096964,            0.010796
                  11,            0.027016,            0.013862,                   0,             0.91689,             0.89756,             0.95577,             0.55381,            0.010147,            0.005263,                   0,           0.0097635,           0.0097635,           0.0097635
                  12,            0.029138,            0.014093,                   0,             0.78259,             0.76581,             0.81985,             0.38951,            0.012952,           0.0060323,                   0,           0.0097635,           0.0097635,           0.0097635
                  13,            0.026647,            0.014177,                   0,             0.90446,             0.89327,              0.9511,             0.51728,            0.011646,           0.0051343,                   0,           0.0097191,           0.0097191,           0.0097191
                  14,             0.02892,            0.014761,                   0,               0.915,              0.8713,              0.9449,             0.58007,           0.0099283,           0.0049798,                   0,            0.009671,            0.009671,            0.009671
                  15,            0.027223,            0.013738,                   0,              0.9373,             0.93195,             0.97293,             0.61682,           0.0095582,           0.0045498,                   0,           0.0096193,           0.0096193,           0.0096193
                  16,            0.026453,            0.013616,                   0,             0.92555,             0.91547,             0.96451,               0.594,           0.0092971,           0.0049833,                   0,            0.009564,            0.009564,            0.009564
                  17,            0.026028,             0.01358,                   0,             0.94677,             0.94341,             0.98305,             0.65559,           0.0087937,           0.0043623,                   0,           0.0095052,           0.0095052,           0.0095052
                  18,            0.025464,            0.013052,                   0,             0.94027,             0.94413,             0.97363,             0.61805,           0.0092255,           0.0046137,                   0,            0.009443,            0.009443,            0.009443
                  19,            0.022524,            0.012944,                   0,             0.92905,             0.94771,             0.97231,              0.6179,            0.010614,           0.0042681,                   0,           0.0093773,           0.0093773,           0.0093773
                  20,            0.024323,            0.012962,                   0,             0.95049,             0.95057,             0.98387,             0.63805,           0.0091871,            0.004187,                   0,           0.0093083,           0.0093083,           0.0093083
                  21,            0.022874,            0.013093,                   0,             0.96104,             0.95409,             0.98352,             0.65557,           0.0088852,           0.0041928,                   0,           0.0092361,           0.0092361,           0.0092361
                  22,            0.022512,             0.01298,                   0,             0.95765,             0.96203,              0.9854,              0.6829,           0.0084015,           0.0040009,                   0,           0.0091606,           0.0091606,           0.0091606
                  23,            0.021276,            0.012439,                   0,             0.94572,             0.97344,             0.98239,             0.66738,           0.0084016,           0.0040709,                   0,           0.0090821,           0.0090821,           0.0090821
                  24,            0.020623,            0.012748,                   0,             0.94256,             0.97561,             0.98464,             0.66781,           0.0081256,           0.0042289,                   0,           0.0090004,           0.0090004,           0.0090004
                  25,            0.022495,            0.012416,                   0,             0.94495,             0.95905,             0.97909,             0.68265,           0.0082124,           0.0041383,                   0,           0.0089159,           0.0089159,           0.0089159
                  26,            0.022412,            0.012239,                   0,             0.93466,             0.95294,             0.97965,             0.67958,           0.0080485,           0.0041445,                   0,           0.0088284,           0.0088284,           0.0088284
                  27,            0.021269,            0.012381,                   0,             0.95968,             0.97564,             0.98715,             0.67897,           0.0083108,           0.0040204,                   0,           0.0087382,           0.0087382,           0.0087382
